gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,fanCat,kissesCat,profilevisitsCat,picturesCat
Female,None,20,under21,5,34521,1484,1,true,true,false,1,3,4,2
Female,None,23,over21,4,3379,112,9,true,true,false,1,3,3,1
Female,Male,23,over21,5,20861,764,0,false,true,false,0,3,4,2
Female,Male,24,over21,10,3688,219,1,true,true,true,1,3,3,2
Female,Male,21,under21,4,4602,171,0,true,false,false,0,3,4,1
Female,Male,20,under21,2,10467,187,0,true,false,true,0,3,4,1
Female,Male,22,over21,15,6030,309,2,true,true,false,1,3,4,2
Female,Male,25,over21,6,1289,55,1,false,true,false,1,2,3,2
Female,Male,21,under21,8,5621,166,3,false,true,false,1,3,4,2
Female,Male,25,over21,8,7055,200,0,false,false,false,0,3,4,2
Female,Male,23,over21,3,3629,79,1,true,true,true,1,2,3,1
Female,Male,25,over21,6,10296,267,1,false,false,true,1,3,4,2
Female,None,23,over21,1,1770,95,20,false,true,true,1,2,3,1
Female,None,24,over21,18,2540,66,0,true,true,true,0,2,3,2
Female,Male,22,over21,2,7689,347,0,false,true,false,0,3,4,1
Female,Male,20,under21,10,1694,21,2,true,true,false,1,2,3,2
Female,Male,19,under21,1,3865,77,0,false,true,false,0,2,3,1
Female,None,21,under21,2,17072,552,0,true,true,true,0,3,4,1
Female,Male,25,over21,12,19098,557,0,true,true,true,0,3,4,2
Female,Male,22,over21,6,5470,137,2,true,false,false,1,3,4,2
Female,Male,19,under21,8,25783,1063,1,true,true,false,1,3,4,2
Female,Male,19,under21,6,7581,105,0,true,true,true,0,3,4,2
Female,Male,22,over21,8,6156,220,1,true,true,false,1,3,4,2
Female,Male,21,under21,5,6613,132,0,true,true,true,0,3,4,2
Female,Male,20,under21,18,5103,319,2,true,true,true,1,3,4,2
Female,Male,21,under21,5,3352,44,12,false,false,true,1,2,3,2
